ID,Field Name,R Name,NoNinput
DE,DEid,DEid,T
DE,DErecordType,DErecType,F
DE,DEsamplingScheme,DEsampScheme,F
DE,DEsamplingSchemeType,DEsampSchemeType,F
DE,DEyear,DEyear,F
DE,DEstratumName,DEstratumName,F
DE,DEhierarchyCorrect,DEhierarchyCor,F
DE,DEhierarchy,DEhierarchy,F
TE,TEid,TEid,T
TE,SDid,SDid,T
TE,LOid,LOid,T
TE,VSid,VSid,T
TE,TErecordType,TErecType,F
TE,TEsequenceNumber,TEseqNum,F
TE,TEstratification,TEstratification,F
TE,TEtimeUnit,TEtimeUnit,F
TE,TEstratumName,TEstratumName,F
TE,TEclustering,TEclustering,F
TE,TEclusterName,TEclusterName,F
TE,TEsampler,TEsampler,F
TE,TEnumberTotal,TEnumTotal,F
TE,TEnumberSampled,TEnumSamp,F
TE,TEselectionProb,TEselProb,F
TE,TEinclusionProb,TEincProb,F
TE,TEselectionMethod,TEselectMeth,F
TE,TEunitName,TEunitName,F
TE,TEselectionMethodCluster,TEselectMethCluster,F
TE,TEnumberTotalClusters,TEnumTotalClusters,F
TE,TEnumberSampledClusters,TEnumSampClusters,F
TE,TEselectionProbCluster,TEselProbCluster,F
TE,TEinclusionProbCluster,TEincProbCluster,F
TE,TEsampled,TEsamp,F
TE,TEreasonNotSampled,TEnoSampReason,F
LO,LOid,LOid,T
LO,SDid,SDid,T
LO,LOrecordType,LOrecType,F
LO,LOsequenceNumber,LOseqNum,F
LO,LOstratification,LOstratification,F
LO,LOlocation,LOloc,F
LO,LOlocode,LOlocode,F
LO,LOstratumName,LOstratumName,F
LO,LOclustering,LOclustering,F
LO,LOclusterName,LOclusterName,F
LO,LOsampler,LOsampler,F
LO,LOnumberTotal,LOnumTotal,F
LO,LOnumberSampled,LOnumSamp,F
LO,LOselectionProb,LOselProb,F
LO,LOinclusionProb,LOincProb,F
LO,LOselectionMethod,LOselectMeth,F
LO,LOunitName,LOunitName,F
LO,LOselectionMethodCluster,LOselectMethCluster,F
LO,LOnumberTotalClusters,LOnumTotalClusters,F
LO,LOnumberSampledClusters,LOnumSampClusters,F
LO,LOselectionProbCluster,LOselProbCluster,F
LO,LOinclusionProbCluster,LOincProbCluster,F
LO,LOsampled,LOsamp,F
LO,LOreasonNotSampled,LOnoSampReason,F
SD,SDid,SDid,T
SD,DEid,DEid,T
SD,SDrecordType,SDrecType,F
SD,SDcountry,SDctry,F
SD,SDinstitution,SDinst,F
VS,VSid,VSid,T
VS,SDid,SDid,T
VS,VDid,VDid,T
VS,TEid,TEid,T
VS,VSrecordType,VSrecType,F
VS,VSsequenceNumber,VSseqNum,F
VS,VSencryptedVesselCode,VSencrVessCode,F
VS,VSstratification,VSstratification,F
VS,VSstratumName,VSstratumName,F
VS,VSclustering,VSclustering,F
VS,VSclusterName,VSclusterName,F
VS,VSsampler,VSsampler,F
VS,VSnumberTotal,VSnumTotal,F
VS,VSnumberSampled,VSnumSamp,F
VS,VSselectionProb,VSselProb,F
VS,VSinclusionProb,VSincProb,F
VS,VSselectionMethod,VSselectMeth,F
VS,VSunitName,VSunitName,F
VS,VSselectionMethodCluster,VSselectMethCluster,F
VS,VSnumberTotalClusters,VSnumTotalClusters,F
VS,VSnumberSampledClusters,VSnumSampClusters,F
VS,VSselectionProbCluster,VSselProbCluster,F
VS,VSinclusionProbCluster,VSincProbCluster,F
VS,VSsampled,VSsamp,F
VS,VSreasonNotSampled,VSnoSampReason,F
FT,FTid,FTid,T
FT,OSid,OSid,T
FT,VSid,VSid,T
FT,VDid,VDid,T
FT,SDid,SDid,T
FT,FOid,FOid,T
FT,TEid,TEid,T
FT,FTrecordType,FTrecType,F
FT,FTencryptedVesselCode,FTencrVessCode,F
FT,FTsequenceNumber,FTseqNum,F
FT,FTstratification,FTstratification,F
FT,FTstratumName,FTstratumName,F
FT,FTclustering,FTclustering,F
FT,FTclusterName,FTclusterName,F
FT,FTsampler,FTsampler,F
FT,FTsamplingType,FTsampType,F
FT,FTnumberOfHauls,FTfoNum,F
FT,FTdepartureLocation,FTdepLoc,F
FT,FTdepartureDate,FTdepDate,F
FT,FTdepartureTime,FTdepTime,F
FT,FTarrivalLocation,FTarvLoc,F
FT,FTarrivalDate,FTarvDate,F
FT,FTarrivalTime,FTarvTime,F
FT,FTnumberTotal,FTnumTotal,F
FT,FTnumberSampled,FTnumSamp,F
FT,FTselectionProb,FTselProb,F
FT,FTinclusionProb,FTincProb,F
FT,FTselectionMethod,FTselectMeth,F
FT,FTunitName,FTunitName,F
FT,FTselectionMethodCluster,FTselectMethCluster,F
FT,FTnumberTotalClusters,FTnumTotalClusters,F
FT,FTnumberSampledClusters,FTnumSampClusters,F
FT,FTselectionProbCluster,FTselProbCluster,F
FT,FTinclusionProbCluster,FTincProbCluster,F
FT,FTsampled,FTsamp,F
FT,FTreasonNotSampled,FTnoSampReason,F
FO,FOid,FOid,T
FO,FTid,FTid,T
FO,SDid,SDid,T
FO,FOrecordType,FOrecType,F
FO,FOstratification,FOstratification,F
FO,FOsequenceNumber,FOseqNum,F
FO,FOstratumName,FOstratumName,F
FO,FOclustering,FOclustering,F
FO,FOclusterName,FOclusterName,F
FO,FOsampler,FOsampler,F
FO,FOaggregationLevel,FOaggLev,F
FO,FOvalidity,FOval,F
FO,FOcatchReg,FOcatReg,F
FO,FOstartDate,FOstartDate,F
FO,FOstartTime,FOstartTime,F
FO,FOendDate,FOendDate,F
FO,FOendTime,FOendTime,F
FO,FOduration,FOdur,F
FO,FOstartLat,FOstartLat,F
FO,FOstartLon,FOstartLon,F
FO,FOstopLat,FOstopLat,F
FO,FOstopLon,FOstopLon,F
FO,FOexclusiveEconomicZoneIndicator,FOeconZoneIndi,F
FO,FOarea,FOarea,F
FO,FOrectangle,FOstatRect,F
FO,FOgsaSubarea,FOgsaSubarea,F
FO,FOjurisdictionArea,FOjurisdArea,F
FO,FOfishingDepth,FOdep,F
FO,FOwaterDepth,FOwaterDep,F
FO,FOnationalFishingActivity,FOnatFishAct,F
FO,FOmetier5,FOmetier5,F
FO,FOmetier6,FOmetier6,F
FO,FOgear,FOgear,F
FO,FOmeshSize,FOmeshSize,F
FO,FOselectionDevice,FOselDev,F
FO,FOselectionDeviceMeshSize,FOselDevMeshSize,F
FO,FOtargetSpecies,FOtarget,F
FO,FOincidentialByCatchMitigationDevice,FOincBycMitigDev,F
FO,FOgearDimensions,FOgearDim,F
FO,FOobservationCode,FOobsCo,F
FO,FOnumberTotal,FOnumTotal,F
FO,FOnumberSampled,FOnumSamp,F
FO,FOselectionProb,FOselProb,F
FO,FOinclusionProb,FOincProb,F
FO,FOselectionMethod,FOselectMeth,F
FO,FOunitName,FOunitName,F
FO,FOselectionMethodCluster,FOselectMethCluster,F
FO,FOnumberTotalClusters,FOnumTotalClusters,F
FO,FOnumberSampledClusters,FOnumSampClusters,F
FO,FOselectionProbCluster,FOselProbCluster,F
FO,FOinclusionProbCluster,FOincProbCluster,F
FO,FOsampled,FOsamp,F
FO,FOreasonNotSampled,FOnoSampReason,F
OS,OSid,OSid,T
OS,SDid,SDid,T
OS,OSrecordType,OSrecType,F
OS,OSsequenceNumber,OSseqNum,F
OS,OSnationalLocationName,OSnatName,F
OS,OSstratification,OSstratification,F
OS,OSlocode,OSlocode,F
OS,OSsamplingDate,OSsamDate,F
OS,OSsamplingTime,OSsamTime,F
OS,OSstratumName,OSstratumName,F
OS,OSclustering,OSclustering,F
OS,OSclusterName,OSclusterName,F
OS,OSsampler,OSsampler,F
OS,OStimeUnit,OStimeUnit,F
OS,OStimeValue,OStimeValue,F
OS,OSnumberTotal,OSnumTotal,F
OS,OSnumberSampled,OSnumSamp,F
OS,OSselectionProb,OSselProb,F
OS,OSinclusionProb,OSincProb,F
OS,OSselectionMethod,OSselectMeth,F
OS,OSunitName,OSunitName,F
OS,OSlocationType,OSlocType,F
OS,OSselectionMethodCluster,OSselectMethCluster,F
OS,OSnumberTotalClusters,OSnumTotalClusters,F
OS,OSnumberSampledClusters,OSnumSampClusters,F
OS,OSselectionProbCluster,OSselProbCluster,F
OS,OSinclusionProbCluster,OSincProbCluster,F
OS,OSsampled,OSsamp,F
OS,OSreasonNotSampled,OSnoSampReason,F
LE,LEid,LEid,T
LE,OSid,OSid,T
LE,FTid,FTid,T
LE,VSid,VSid,T
LE,VDid,VDid,T
LE,TEid,TEid,T
LE,SAid,SAid,T
LE,SSid,SSid,T
LE,LErecordType,LErecType,F
LE,LEencryptedVesselCode,LEencrVessCode,F
LE,LEstratification,LEstratification,F
LE,LEsequenceNumber,LEseqNum,F
LE,LEhaulNumber,LEhaulNum,F
LE,LEstratumName,LEstratumName,F
LE,LEclustering,LEclustering,F
LE,LEclusterName,LEclusterName,F
LE,LEsampler,LEsampler,F
LE,LEmixedTrip,LEmixedTrip,F
LE,LEcatchReg,LEcatReg,F
LE,LElocation,LEloc,F
LE,LElocationType,LElocType,F
LE,LEcountry,LEctry,F
LE,LEdate,LEdate,F
LE,LEtime,LEtime,F
LE,LEexclusiveEconomicZoneIndicator,LEeconZoneIndi,F
LE,LEarea,LEarea,F
LE,LErectangle,LEstatRect,F
LE,LEgsaSubarea,LEgsaSubarea,F
LE,LEjurisdictionArea,LEjurisdArea,F
LE,LEnationalFishingActivity,LEnatFishAct,F
LE,LEmetier5,LEmetier5,F
LE,LEmetier6,LEmetier6,F
LE,LEgear,LEgear,F
LE,LEmeshSize,LEmeshSize,F
LE,LEselectionDevice,LEselDev,F
LE,LEselectionDeviceMeshSize,LEselDevMeshSize,F
LE,LEtargetSpecies,LEtarget,F
LE,LEmitigationDevice,LEmitiDev,F
LE,LEgearDimensions,LEgearDim,F
LE,LEnumberTotal,LEnumTotal,F
LE,LEnumberSampled,LEnumSamp,F
LE,LEselectionProb,LEselProb,F
LE,LEinclusionProb,LEincProb,F
LE,LEselectionMethod,LEselectMeth,F
LE,LEunitName,LEunitName,F
LE,LEselectionMethodCluster,LEselectMethCluster,F
LE,LEnumberTotalClusters,LEnumTotalClusters,F
LE,LEnumberSampledClusters,LEnumSampClusters,F
LE,LEselectionProbCluster,LEselProbCluster,F
LE,LEinclusionProbCluster,LEincProbCluster,F
LE,LEsampled,LEsamp,F
LE,LEreasonNotSampled,LEnoSampReason,F
LE,LEfullTripAvailable,LEfullTripAva,F
SS,SSid,SSid,T
SS,LEid,LEid,T
SS,FOid,FOid,T
SS,FTid,FTid,T
SS,OSid,OSid,T
SS,TEid,TEid,T
SS,SLid,SLid,T
SS,SSrecordType,SSrecType,F
SS,SSsequenceNumber,SSseqNum,F
SS,SSstratification,SSstratification,F
SS,SSobservationActivityType,SSobsActTyp,F
SS,SScatchFraction,SScatchFra,F
SS,SSobservationType,SSobsTyp,F
SS,SSstratumName,SSstratumName,F
SS,SSclustering,SSclustering,F
SS,SSclusterName,SSclusterName,F
SS,SSsampler,SSsampler,F
SS,SSspeciesListName,SSspecListName,F
SS,SSuseForCalculateZero,SSuseCalcZero,F
SS,SSnumberTotal,SSnumTotal,F
SS,SSnumberSampled,SSnumSamp,F
SS,SSselectionProb,SSselProb,F
SS,SSinclusionProb,SSincProb,F
SS,SSselectionMethod,SSselectMeth,F
SS,SSunitName,SSunitName,F
SS,SSselectionMethodCluster,SSselectMethCluster,F
SS,SSnumberTotalClusters,SSnumTotalClusters,F
SS,SSnumberSampledClusters,SSnumSampClusters,F
SS,SSselectionProbCluster,SSselProbCluster,F
SS,SSinclusionProbCluster,SSincProbCluster,F
SS,SSsampled,SSsamp,F
SS,SSreasonNotSampled,SSnoSampReason,F
SA,SAid,SAid,T
SA,SSid,SSid,T
SA,SArecordType,SArecType,F
SA,SAsequenceNumber,SAseqNum,F
SA,SAparentSequenceNumber,SAparSequNum,F
SA,SAstratification,SAstratification,F
SA,SAstratumName,SAstratumName,F
SA,SAspeciesCode,SAspeCode,F
SA,SAspeciesCodeFAO,SAspeCodeFAO,F
SA,SApresentation,SApres,F
SA,SAspecimensState,SAspecState,F
SA,SAcatchCategory,SAcatchCat,F
SA,SAlandingCategory,SAlandCat,F
SA,SAcommSizeCatScale,SAcommCatScl,F
SA,SAcommSizeCat,SAcommCat,F
SA,SAsex,SAsex,F
SA,SAexclusiveEconomicZoneIndicator,SAeconZoneIndi,F
SA,SAarea,SAarea,F
SA,SArectangle,SAstatRect,F
SA,SAgsaSubarea,SAgsaSubarea,F
SA,SAjurisdictionArea,SAjurisdArea,F
SA,SAnationalFishingActivity,SAnatFishAct,F
SA,SAmetier5,SAmetier5,F
SA,SAmetier6,SAmetier6,F
SA,SAgear,SAgear,F
SA,SAmeshSize,SAmeshSize,F
SA,SAselectionDevice,SAselDev,F
SA,SAselectionDeviceMeshSize,SAselDevMeshSize,F
SA,SAunitType,SAunitType,F
SA,SAtotalWeightLive,SAtotalWtLive,F
SA,SAsampleWeightLive,SAsampWtLive,F
SA,SAnumberTotal,SAnumTotal,F
SA,SAnumberSampled,SAnumSamp,F
SA,SAselectionProb,SAselProb,F
SA,SAinclusionProb,SAincProb,F
SA,SAselectionMethod,SAselectMeth,F
SA,SAunitName,SAunitName,F
SA,SAlowerHierarchy,SAlowHierarchy,F
SA,SAsampler,SAsampler,F
SA,SAsampled,SAsamp,F
SA,SAreasonNotSampledFM,SAnoSampReasonFM,F
SA,SAreasonNotSampledBV,SAnoSampReasonBV,F
SA,SAtotalWeightMeasured,SAtotalWtMes,F
SA,SAsampleWeightMeasured,SAsampWtMes,F
SA,SAconversionFactorMesLive,SAconFacMesLive,F
FM,FMid,FMid,T
FM,SAid,SAid,T
FM,FMrecordType,FMrecType,F
FM,FMclass,FMclass,F
FM,FMnumberAtUnit,FMnumAtUnit,F
FM,FMtype,FMtype,F
FM,FMmeasurementEquipment,FMmeasEquip,F
FM,FMaccuracy,FMaccuracy,F
FM,FMsampler,FMsampler,F
FM,FMaddGrpMeasurement,FMaddGrpMeas,F
FM,FMaddGrpMeasurementType,FMaddGrpMeasType,F
BV,BVid,BVid,T
BV,SAid,SAid,T
BV,FMid,FMid,T
BV,BVrecordType,BVrecType,F
BV,BVfishId,BVfishId,F
BV,BVstratification,BVstratification,F
BV,BVstratumName,BVstratumName,F
BV,BVtype,BVtype,F
BV,BVvalue,BVvalue,F
BV,BVvalueType,BVvalTyp,F
BV,BVmethod,BVmethod,F
BV,BVmeasurementEquipment,BVmeasEquip,F
BV,BVnumberTotal,BVnumTotal,F
BV,BVnumberSampled,BVnumSamp,F
BV,BVselectionProb,BVselProb,F
BV,BVinclusionProb,BVincProb,F
BV,BVselectionMethod,BVselectMeth,F
BV,BVunitName,BVunitName,F
BV,BVsampler,BVsampler,F
